CustomerID,total_revenue,total_orders,first_purchase,last_purchase,customer_lifespan_days,avg_order_value,customer_lifetime_years,CLV,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score,RFM_segment
12346.0,77183.6,1,2011-01-18 10:01:00,2011-01-18 10:01:00,0,77183.6,0.0,0.0,325,1,77183.6,1,1,4,114,Lost Customers
12347.0,4310.0,7,2010-12-07 14:57:00,2011-12-07 15:52:00,365,615.7142857142857,1.0,2630.340512415201,1,7,4310.0,4,4,4,444,Champions
12348.0,1797.24,4,2010-12-16 19:09:00,2011-09-25 13:13:00,282,449.31,0.7726027397260274,1482.9792426533281,74,4,1797.24,2,3,4,234,Needs Atention
12349.0,1757.55,1,2011-11-21 09:51:00,2011-11-21 09:51:00,0,1757.55,0.0,0.0,18,1,1757.55,3,1,4,314,Potential Loyals
12350.0,334.4,1,2011-02-02 16:01:00,2011-02-02 16:01:00,0,334.4,0.0,0.0,309,1,334.4,1,1,2,112,Lost Customers
12352.0,2506.04,8,2011-02-16 12:33:00,2011-11-03 14:37:00,260,313.255,0.7123287671232876,953.2597128908592,35,8,2506.04,3,4,4,344,Champions
12353.0,89.0,1,2011-05-19 17:47:00,2011-05-19 17:47:00,0,89.0,0.0,0.0,203,1,89.0,1,1,1,111,Lost Customers
12354.0,1079.4,1,2011-04-21 13:11:00,2011-04-21 13:11:00,0,1079.4,0.0,0.0,231,1,1079.4,1,1,3,113,Lost Customers
12355.0,459.4,1,2011-05-09 13:49:00,2011-05-09 13:49:00,0,459.4,0.0,0.0,213,1,459.4,1,1,2,112,Lost Customers
12356.0,2811.43,3,2011-01-18 09:50:00,2011-11-17 08:40:00,302,937.1433333333333,0.8273972602739726,3312.476778331449,22,3,2811.43,3,3,4,334,Champions
12357.0,6207.67,1,2011-11-06 16:07:00,2011-11-06 16:07:00,0,6207.67,0.0,0.0,32,1,6207.67,3,1,4,314,Potential Loyals
12358.0,1168.06,2,2011-07-12 10:04:00,2011-12-08 10:26:00,149,584.03,0.40821917808219177,1018.5006347474058,1,2,1168.06,4,2,3,423,Loyal Customers
12359.0,6372.58,4,2011-01-12 12:43:00,2011-10-13 12:47:00,274,1593.145,0.7506849315068493,5109.115810177028,57,4,6372.58,2,3,4,234,Needs Atention
12360.0,2662.06,3,2011-05-23 09:43:00,2011-10-18 15:22:00,148,887.3533333333334,0.4054794520547945,1537.0860456199962,51,3,2662.06,2,3,4,234,Needs Atention
12361.0,189.9,1,2011-02-25 13:51:00,2011-02-25 13:51:00,0,189.9,0.0,0.0,286,1,189.9,1,1,1,111,Lost Customers
12362.0,5226.23,10,2011-02-17 10:30:00,2011-12-06 15:40:00,292,522.6229999999999,0.8,1786.1225331489165,2,10,5226.23,4,4,4,444,Champions
12363.0,552.0,2,2011-04-11 13:29:00,2011-08-22 10:18:00,132,276.0,0.36164383561643837,426.40559313363275,109,2,552.0,2,2,2,222,Needs Atention
12364.0,1313.1,4,2011-08-19 15:24:00,2011-12-02 10:22:00,104,328.275,0.28493150684931506,399.58670380264874,7,4,1313.1,4,3,3,433,Champions
